symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count,base,marketCap
BTCUSDT,3629.75000000,3.380,109399.43344979,107374.68000000,111004.43000000,0.01646000,111004.43000000,0.49127000,111004.44000000,6.82003000,107374.68000000,111880.00000000,106117.67000000,55513.30944500,6073124602.20595170,1747835952013,1747922352013,4932873395,4941246363,8372969,BTC,674143734786848.4
ETHUSDT,94.71000000,3.713,2576.99703185,2551.08000000,2645.80000000,0.07240000,2645.79000000,0.45210000,2645.80000000,39.40670000,2551.09000000,2692.99000000,2452.20000000,1304416.94930000,3361478606.64357700,1747835952013,1747922352013,2446306332,2453291384,6985053,ETH,8893800097457.576
WBTCUSDT,3836.46000000,3.580,109171.44832429,107228.54000000,111005.09000000,0.03350000,110782.82000000,0.00795000,110790.80000000,0.00138000,107168.63000000,111623.93000000,105955.35000000,246.98921000,26964169.77617310,1747835952161,1747922352161,20001169,20033263,32095,WBTC,2993160092779.3745
BNBUSDT,29.75000000,4.534,674.55956109,656.10000000,685.86000000,0.07200000,685.85000000,8.87200000,685.86000000,45.83200000,656.11000000,690.02000000,653.97000000,579089.90600000,390630632.82017000,1747835952092,1747922352092,1060665623,1061966549,1300927,BNB,267917925826.04178
SOLUSDT,7.75000000,4.566,173.73913962,169.72000000,177.48000000,1.41100000,177.47000000,163.48400000,177.48000000,48.62100000,169.73000000,180.87000000,165.51000000,5328478.35900000,925765245.58993000,1747835951777,1747922351777,1286444164,1290205929,3761766,SOL,164304815787.30078
PAXGUSDT,-9.69000000,-0.293,3322.11536478,3311.45000000,3301.85000000,1.60000000,3301.85000000,0.40000000,3301.86000000,0.73100000,3311.54000000,3349.78000000,3277.35000000,5628.28100000,18697798.78742000,1747835951967,1747922351967,18684968,18740795,55828,PAXG,61737326926.24273
TAOUSDT,52.10000000,12.512,448.44933949,416.60000000,468.50000000,2.51600000,468.50000000,26.53720000,468.60000000,0.05770000,416.40000000,475.70000000,415.00000000,158454.07960000,71058627.33689000,1747835951593,1747922351593,76237661,76549858,312198,TAO,33290966907.332962
AAVEUSDT,1.12000000,0.442,252.51365188,253.14000000,254.25000000,4.16900000,254.23000000,1.26700000,254.24000000,4.13900000,253.13000000,260.62000000,243.23000000,339931.47800000,85837338.89994000,1747835952105,1747922352105,218565852,219010933,445082,AAVE,21824143415.309746
MKRUSDT,-12.00000000,-0.685,1753.55292999,1752.00000000,1740.00000000,1.16290000,1740.00000000,2.40110000,1741.00000000,2.18020000,1752.00000000,1823.00000000,1688.00000000,6046.04680000,10602063.08100000,1747835951881,1747922351881,65664810,65708049,43240,MKR,18447589760.94
BCHUSDT,25.00000000,6.217,420.22793300,402.10000000,427.10000000,1.45800000,427.10000000,3.16500000,427.20000000,5.53300000,402.10000000,440.70000000,395.60000000,94473.81400000,39700535.58010000,1747835951429,1747922351429,224641954,224954967,313014,BCH,16956098746.260712
