symbol,base_currency,base_currency_desc,close,24h_close_change|5,market_cap_calc
CRYPTO:00USD,00,00 Token,0.02,2.859493931289863,7295345.16
CRYPTO:0DOGUSD,0DOG,Bitcoin Dogs,9.0595e-05,-3.3529625125349454,73381.95
CRYPTO:0X0USD,0X0,0x0.ai,0.097295,-4.161741528762798,84506881.35422501
CRYPTO:1000SATSUSD,1000SATS,1000SATS,5.2797e-05,1.8050471970718445,
CRYPTO:10SETUSD,10SET,Tenset,0.061087,-2.9317358418610553,8538347.124233594
CRYPTO:1CATUSD,1CAT,Bitcoin Cats,0.00028299,-0.3731737370181282,1414950
CRYPTO:1EARTHUSD,1EARTH,EarthFund,0.00011739,-0.36496350364963015,8540.63173782
CRYPTO:1INCHUSD,1INCH,1inch Network,0.23691,1.2408009584117687,328516831.08132356
CRYPTO:2MOONUSD,2MOON,The Moon Metaverse,2.5799e-06,25.82422941865003,89785.3203554325
CRYPTO:3KMUSD,3KM,3 Kingdoms Multiverse,6.2427e-05,-3.2169545130383495,38594.025340938
CRYPTO:3ULLUSD,3ULL,PLAYA3ULL GAMES,0.00050081,2.113379980008557,2365443.7565555098
CRYPTO:47USD,47,President Trump,0.00012099,-2.4043802571020287,110005.98189312
CRYPTO:4EVERUSD,4EVER,4EVERLAND,0.0010584,-0.02833663927459808,1045169.9999999999
CRYPTO:5IREUSD,5IRE,5ire,0.0015129,-1.4589982413860554,2007745.2358159046
CRYPTO:8882USD,888,888,0.018999,-5.917599286916914,1688141.8767509998
CRYPTO:A1XUSD,A1X,AI Nexus,0.0033323,-0.8362099750029784,1632827
CRYPTO:A47USD,A47,AGENDA 47,0.028372,-2.3339070567986164,28371928.076980002
CRYPTO:A8USD,A8,Ancient8,0.16239,2.1059910731124787,46744806.528843
CRYPTO:AAUSD,AA,A3S Protocol,0.010409,0.2600654979772611,2493944.698497
CRYPTO:AAACUSD,AAA,aaa cat,0.00014098,0.1207300617853798,1409800
CRYPTO:AAAUSD,AAA,Moon Rabbit,9.9385e-07,-9.195979899497491,8834.2222213388
CRYPTO:AAIAVUSD,AAI,Aventis AI,0.22965,-19.356245004722805,206312967
CRYPTO:AARKUSD,AARK,Aark,0.0018149,0.6432651250485137,12595.405999999999
CRYPTO:AARTUSD,AART,ALL.ART protocol,5.5187e-05,-4.20752981201507,189215.4370352875
CRYPTO:AASTUSD,AAST,AASToken,0.0094905,2.447461450042278,71178750
CRYPTO:AAVEUSD,AAVE,Aave,225.97,2.7058984037473364,3415542762.5301504
CRYPTO:AAXUSD,AAX,Academic Labs,0.00070176,11.36926299752428,583128.5477980799
CRYPTO:AB2USD,AB,AB,0.0073576,3.920350233017939,427179882.7027457
CRYPTO:ABBCUSD,ABBC,ABBC Coin,0.0059207,15.864970645792567,5360033.959328978
CRYPTO:ABCAUSD,ABC,Angry Bulls Club,0.0017471,-1.5274489910945874,20123.6621133
CRYPTO:ABDSUSD,ABDS,ABDS Token,0.0040006,225.19915460900668,12199.8297
CRYPTO:ABELIUSD,ABEL,Abelian,0.052507,-1.4600731913296443,5240847.166464
CRYPTO:ABEYUSD,ABEY,ABEY,0.092795,-0.024779676355874126,106713881.32546501
CRYPTO:ABI2USD,ABI,Abi,2.1999e-05,-0.022723141247049623,21998.69047407
CRYPTO:ABLUSD,ABL,Airbloc,0.00098596,0.12123064384678979,
CRYPTO:ABONDUSD,ABOND,ApeBond,0.0017746,9.489141164856871,610043.3405967081
CRYPTO:ABTUSD,ABT,Arcblock,1.0709,-1.3847858197931964,105541805.69601005
CRYPTO:ABYSSFUSD,ABYS,Trinity Of The Fabled,0.00052217,-13.221189807350278,313302
CRYPTO:ACAUSD,ACA,Acala Token,0.037508,-1.8295076818384022,43759333.08328
CRYPTO:ACEFUSD,ACE,Fusionist,0.7757,-1.7922462566608097,48453562.939899996
CRYPTO:ACEUSD,ACE,ACENT,0.0011069,0.746336579594074,691552.7482046001
CRYPTO:ACHUSD,ACH,Alchemy Pay,0.028619,-2.5507424056668015,258339886.6234931
CRYPTO:ACLUSD,ACL,Auction Light,1.1786e-05,-0.48969942586963966,
CRYPTO:ACMUSD,ACM,AC Milan Fan Token,0.96395,-1.8570744967877941,7524644.78935
CRYPTO:ACNUSD,ACN,Acorn Protocol,1.8909e-05,-3.0475312435976245,
CRYPTO:ACOLYTUSD,ACOLYT,Acolyte by Virtuals,0.009931,-11.028489518007522,9862306.647347001
CRYPTO:ACQUSD,ACQ,Acquire.Fi,0.0032263,-5.164568929858775,113053.3687129
CRYPTO:ACSAUSD,ACS,Access Protocol,0.0015281,-1.703960905349797,62892857.69648579
CRYPTO:ACTIUSD,ACT,Act I : The AI Prophecy,0.077653,1.877016710826624,73634070.7686408
CRYPTO:ACXUSD,ACX,Across Protocol,0.27097,1.895663294091093,118678998.38262434
CRYPTO:ADUSD,AD,ADreward,2.7739e-06,-6.778464847425733,23776.946187008598
CRYPTO:ADAUSD,ADA,Cardano,0.80496,-1.9717692335797583,28425512794.992832
CRYPTO:ADAPADUSD,ADAPAD,ADAPad,0.0032058,0.539252570855286,377137.91968398
CRYPTO:ADFUSD,ADF,Art de Finance,0.000114984,16.98562402710375,20743.904000016
CRYPTO:ADNUSD,ADN,Aiden Labs,0.0096895,-2.5413062958749064,38758000
CRYPTO:ADPUSD,ADP,Adappter Token,0.0018524,-4.342886651174807,8400324.467664799
CRYPTO:ADSAUSD,ADS,Alkimi,0.14652,-1.8849007419290082,34723933.654053606
CRYPTO:ADSUSD,ADS,Adshares,0.52657,3.7371946414499466,20396110.604589287
CRYPTO:ADXUSD,ADX,AdEx,0.11949,2.8672292061305438,17672571
CRYPTO:AEUSD,AE,Æternity,0.016029,-0.11839481555332868,6172878.460027501
CRYPTO:AEGUSD,AEG,Aether Games,0.0023419,-8.751217611533221,897135.543799
CRYPTO:AERGOUSD,AERGO,Aergo,0.15698,-0.19708818106682224,74957949.33580525
CRYPTO:AERODUSD,AERO,Aerodrome Finance,0.71583,-0.8794892037506514,583224632.1325575
CRYPTO:AEROBUDUSD,AEROBUD,Aerobud,0.016786,-5.318668922729834,16282419.999999998
CRYPTO:AESUSD,AES,Aree Shards,0.00022989,-2.174463773011311,57945.3407727546
CRYPTO:AEURUSD,AEUR,Anchored Coins AEUR,1.0431,-0.7233273056057915,59466718.558259994
CRYPTO:AEVOUSD,AEVO,Aevo,0.14609,-1.1771869291658152,131946267.3909053
CRYPTO:AFCUSD,AFC,Arsenal Fan Token,0.50277,-0.9905474596297713,3836771.10405
CRYPTO:AFGUSD,AFG,Army of Fortune Gem,0.0028799,0.22272489994778918,109436.2
CRYPTO:AGAAUSD,AGA,AgoraHub,0.0093645,-4.306195648841707,
CRYPTO:AGBUSD,AGB,Apes Go Bananas,1.3309e-10,-0.7753671810929722,109027.32800000001
CRYPTO:AGCUSD,AGC,Argocoin,0.053397,-2.7756374977068434,2369331.684
CRYPTO:AGENTUSD,AGENT,AgentLayer,0.0028389,-0.5632324645793176,1347984.7456663097
CRYPTO:AGENTFUNUSD,AGENTFUN,AgentFun.AI,2.0014,0,200139999.99999997
CRYPTO:AGIUSD,AGI,Delysium,0.07089,-5.784970238095235,94765442.91073902
CRYPTO:AGIIUSD,AGII,AGII,3.5558e-05,-5.948633850874172,711.16
CRYPTO:AGLAUSD,AGLA,Angola,0.0014846,2.3575235752357546,705853.07
CRYPTO:AGLDUSD,AGLD,Adventure Gold,1.0343,1.1439186546734499,79961734.0343
CRYPTO:AGNTUSD,AGNT,iAgent Protocol,0.0057597,-15.68661894514953,431401.53
CRYPTO:AGONAUSD,AGON,AGON Agent,0.0086266,2.337002942013847,8626600
CRYPTO:AGRIDUSD,AGRI,AgriDex,0.033848,1.353455503653135,5452176.064432001
CRYPTO:AGROUSD,AGRO,Agro Global,0.00035647,-7.393552074403139,1693232.4322707
CRYPTO:AGRSUSD,AGRS,Agoras: Currency of Tau,1.1569,14.883961625731473,34547128.9576606
CRYPTO:AHTUSD,AHT,AhaToken,0.0042257,-1.1231485597959683,27146939.42441762
CRYPTO:AISLUSD,AI,Sleepless AI,0.20293,-4.206004531722055,67034543.129726894
CRYPTO:AIANUSD,AI,Any Inu,2.9599e-06,3.801507978257046,1245200.331
CRYPTO:AI16ZUSD,AI16Z,ai16z,0.36277,1.1218709011246684,399046500.01332
CRYPTO:AIACUSD,AIA,AIA Chain,0.0013799,3.3349021717205614,5519600
CRYPTO:AIAGENTUSD,AIAGENT,Casper AI,0.0018549,-7.412398921832873,788994.9664056
CRYPTO:AIAKITAUSD,AIAKITA,AiAkita,1.0769e-13,2.7380270940660223,1497.741983634116
CRYPTO:AIATUSD,AIAT,AI Analysis Token,0.5022,-5.234554855266632,73516787.96466325
CRYPTO:AIBBUSD,AIBB,BullBear AI,6.2257e-11,4.665467807263755,127367.48111223712
CRYPTO:AICOMPUSD,AIC,AI Companions,0.14776,-8.209047974148644,110819955.672
CRYPTO:AICEUSD,AICE,Aicean,1.3996,-0.2138884927990955,125964000
CRYPTO:AICELLUSD,AICELL,AICell,0.0017362,7.645563340980965,1736200
CRYPTO:AICODEUSD,AICODE,AICODE,0.28164,6.702026899033902,288841.25316
CRYPTO:AICOREUSD,AICORE,AICORE,0.24819,-5.863834629243316,49588.01014513908
CRYPTO:AIDOGEUSD,AIDOGE,ArbDoge AI,1.861e-10,-1.7111169791391636,32466242.419456672
CRYPTO:AIDOGEXLMUSD,AIDOGEXLM,AIDOGE Stellar,5.081e-06,2.0199180788691744,113286.314567354
CRYPTO:AIEUSD,AIE,A.I.Earn,2.6709e-07,-2.8929674722878524,13354.5
CRYPTO:AIEPKUSD,AIEPK,EpiK Protocol,0.0012829,-5.061792348109223,513160
CRYPTO:AIFUNUSD,AIFUN,AI Agent Layer,0.0064132,-6.5998572531426225,1102163.5158012
CRYPTO:AIMONICAUSD,AIMONICA,Aimonica Brands,0.0060697,-2.552518267223374,6069636.5837744
CRYPTO:AIMXMUSD,AIMX,Mind Matrix,3.3703e-10,0.9604486070512486,3370.3
CRYPTO:AINUSD,AIN,AI Network,0.0079201,-0.601154618473896,2133945.6569381
CRYPTO:AINNUSD,AINN,AINN,0.021229,-7.521583674893176,445809
CRYPTO:AINTIUSD,AINTI,AIntivirus,0.056537,-11.14306819432003,5653692.6501899995
CRYPTO:AIOTUSD,AIOT,OKZOO,0.40163,-0.019914863956591696,20081500
CRYPTO:AIOZUSD,AIOZ,AIOZ Network,0.52338,1.5246741154562342,615407079.3457159
CRYPTO:AIPADUSD,AIPAD,AIPAD,0.013229,-5.5273869885024665,2556500.7638893
CRYPTO:AIPOCUSD,AIPO,Aipocalypto,0.0074014,9.076707685505859,
CRYPTO:AIPUMPUSD,AIPUMP,aiPump,0.00046298,-22.992451383912957,176241.08774818
CRYPTO:AIRIAUSD,AIR,AIRian,0.0049398,9.290028540454433,181537.65000000002
