symbol,name,close,change,volume,market_cap_basic
NYSE:A,A,106.93,-1.6283348666053319,1369559,30486034168
NYSE:AA,AA,25.92,0.7776049766718618,6144915,6710748769.999999
AMEX:AAA,AAA,24.8904,0.04180064308681926,4057,
CBOE:AAAU,AAAU,32.87,0.6121824303642355,2329122,
OTC:AABB,AABB,0.032,8.474576271186448,23211766,108492864.99999999
OTC:AABVF,AABVF,0.018,-22.673769224160157,1000,2874370.9499999997
OTC:AACAF,AACAF,4.754,-0.021030494216621114,100,5636808282.686039
OTC:AACAY,AACAY,4.55,-0.5964214711729693,1874,5603668023.6407995
NASDAQ:AACB,AACB,9.98,0,141604,236027000
NASDAQ:AACBU,AACBU,10.17,0,2530,298998000
NASDAQ:AACG,AACG,0.965,-1.5205633227880422,18495,30517688
NYSE:AACT,AACT,11.27,0.08880994671403007,42057,697158967.9999999
NYSE:AACT.U,AACT.U,11.88,1.6253207869974449,102,697158968
OTC:AACTF,AACTF,0.012,9.090909090909099,52590,2408704.8000000003
NASDAQ:AADR,AADR,75.9,0.04824460807188588,1598,
OTC:AAFRF,AAFRF,2.35,-9.615384615384615,3351,8591487277.900553
OTC:AAGAF,AAGAF,0.4527,0.5999999999999955,17210,
OTC:AAGC,AAGC,0.0007,7.692307692307695,412156,67645
OTC:AAGFF,AAGFF,0.362633,6.65676470588234,278192,107149032.092024
OTC:AAGH,AAGH,0.0026,0,10000,55127313
OTC:AAGIY,AAGIY,31.67,0.253244697689148,256751,84408691582.9998
OTC:AAGR,AAGR,0.0002,-98.99497487437186,17117,11572.999999999998
OTC:AAGRY,AAGRY,1.4,-1.4084507042253533,1850,675565612.4267399
OTC:AAIGF,AAIGF,7.808,-2.3267450587940948,51309,83264129717.90974
OTC:AAIIQ,AAIIQ,0.0001,9900.000000000002,1750,413.1
OTC:AAIRF,AAIRF,0.12,9.090909090909086,30126,12061195.058823528
NASDAQ:AAL,AAL,11.11,0.7252946509519499,59558235,7327181750
NYSE:AAM,AAM,10.32,0.045563386425985716,834,453811680
NYSE:AAM.U,AAM.U,10.2,0,303,549922545
OTC:AAMCF,AAMCF,0.5,0,12903,1277256
NASDAQ:AAME,AAME,1.81,0.555555555555556,9333,36923560.00000001
NYSE:AAMI,AAMI,29.38,-0.40677966101695257,193957,1051665086
OTC:AAMMF,AAMMF,0.1881,19.277108433734927,7375,11475595.0188
OTC:AAMTF,AAMTF,0.24,11.627906976744184,1000,5035882.499999999
NASDAQ:AAOI,AAOI,14.67,-0.6097560975609747,7922776,814835726
NASDAQ:AAON,AAON,100.23,0.8045861410037183,580830,8155328713
NYSE:AAP,AAP,30.88,-1.624721248805357,2267537,1847647236.0000002
NASDAQ:AAPB,AAPB,19.25,0.9968520461699962,164199,
NASDAQ:AAPD,AAPD,18.25,-0.49073064340239836,706540,
NASDAQ:AAPG,AAPG,24.31,-3.3783783783783843,9839,2110387017.0992
OTC:AAPI,AAPI,8,2.5641025641025665,112,1757726807
OTC:AAPJ,AAPJ,0.0001,-50,12510000,177988
NASDAQ:AAPL,AAPL,198.53,0.5266089422249187,36453838,2965209551670
CBOE:AAPR,AAPR,26.3153,0.0007600199125199368,3547,
OTC:AAPT,AAPT,1e-06,0,30000,1729.0000000000002
NASDAQ:AAPU,AAPU,21.06,1.0071942446043034,1335323,
CBOE:AAPW,AAPW,36.2275,0.6271926047936612,5531,
CBOE:AAPX,AAPX,18.15,1.3400335008375124,131667,
CBOE:AAPY,AAPY,21.1689,0.5987767845686727,2247,
OTC:AAQL,AAQL,0.353,-64.27125506072875,100,10588235
NASDAQ:AARD,AARD,10.42,-2.889095992544273,215243,226071478.00000003
OTC:AASP,AASP,6.25,4.166666666666666,2088,61156601
OTC:AASZF,AASZF,0.8135,17.98404641044235,970,29167266.304785714
NYSE:AAT,AAT,19.25,-0.10378827192527022,228845,1176843577
OTC:AATC,AATC,7.61,-3.792667509481666,18553,41152653.00000001
OTC:AATRL,AATRL,54.5,-0.9090909090909091,343,
OTC:AATV,AATV,0.175,-2.2892238972641095,9231,8402298.333333332
OTC:AAUAF,AAUAF,0.135,-7.660738714090279,167094,18524889.729729734
OTC:AAUCF,AAUCF,4.295,2.4082021936099185,132294,1412625469.3214285
OTC:AAUGF,AAUGF,0.0239,59.33333333333335,4500,2914061.673333334
OTC:AAUKF,AAUKF,27.5994,-1.921108742004269,1557,33488914857.035736
NASDAQ:AAVM,AAVM,25.3232,0.17841530811256176,8247,
OTC:AAVMY,AAVMY,21.62,0.7455731593662634,5264,17983997715.07809
OTC:AAVVF,AAVVF,7.52,3.0843043180260405,25327,1253584004.293054
OTC:AAVXF,AAVXF,7.21,24.096385542168683,100,457310670.5705024
OTC:AAWH,AAWH,0.37,-7.500000000000007,59450,75908460
NASDAQ:AAXJ,AAXJ,76.02,0.622104566512242,193302,
NYSE:AB,AB,40.76,-0.34229828850855887,135346,4512119313
OTC:ABAKF,ABAKF,2.1,1.7688393506178919,380,77394836.30802
NASDAQ:ABAT,ABAT,1.4,-0.7092198581560291,856537,118521205
